date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,notes
2026-06-23,2026-06-27,39th Annual Meramec Community Fair,fair,Meramec Community Fairgrounds,,Sullivan,Franklin,MO,General public; all ages; multi-day regional fair with livestock, midway, entertainment,implied,Vendor/exhibitor opportunities expected at this large regional fair; contact fair directly for application details.,,,,,,https://www.merameccommunityfair.com/,https://www.mysullivannews.com/news/meramec-community-fair-2026-what-know-about-dates-theme-and-black-friday-ticket-deal,2026-06-25,"Full fair runs June 23–27; window-relevant dates June 25–27. Theme: Stars & Stripes and Summer Nights honoring the nation's 250th anniversary. Two entertainment stages. Facebook: facebook.com/MeramecCommunityFair"
2026-06-24,2026-06-27,Warren County Fair 2026,fair,Warren County Fairgrounds,615 Fairgrounds Rd,Warrenton,Warren,MO,"General public all ages; community fair with livestock shows, carnival rides, rodeo, concerts, food vendors",implied,"Large public county fair; commercial vendors historically present; contact fairgrounds directly for vendor booth applications",,,,,(636) 456-1212,https://www.warrencountyfairgrounds.com/,https://cofairs.com/missouri/warren-county-fair,2026-06-25,"Fair runs June 24–27; currently underway as of run date with 2+ days remaining. Admission $15–$20 adults, $5–$10 ages 7–12, under 7 free."
2026-06-26,2026-06-27,Twin City Firecracker Festival,festival,Crites Park / Old State Hwy A,2232-2292 Old State Hwy A,Festus,Jefferson,MO,"General public; all ages; ~18,000+ attendees; includes Seniors' Fishing Derby June 27",yes,"Vendor application via Festus City Hall or online at secure.rec1.com/MO/festus-mo/catalog (under Firecracker Festival)",,Barb Lowry,Barb.Lowry@FestusMO.gov,636-937-4694,https://secure.rec1.com/MO/festus-mo/catalog,https://www.festusmo.gov/293/Firecracker-Festival---June-26-27-2026,2026-06-25,"37th annual festival. Fri June 26 3pm–11pm and Sat June 27. Carnival, food, fireworks. Seniors' Fishing Derby at Al Brown Lake in Crites Park on June 27 10am–12pm with prizes."
2026-07-10,2026-07-12,Ste. Genevieve County Fair,fair,Ste. Genevieve County Fairgrounds,,Ste. Genevieve,Ste. Genevieve,MO,"General public; family-friendly county fair with parade, livestock shows, demolition derby, truck/tractor pulls, 4-H and FFA exhibits, live music, midway",yes,"Vendor booths available; vendors receive 2 Pit Passes (extra must be purchased). Contact fair board for 2026 booth costs and registration.",,,,,,https://www.stegenevievecountyfair.com/vendors,https://www.stegenevievecountyfair.com/,2026-06-25,"Held second full weekend in July each year; 2026 falls July 10–12. Vendor page: stegenevievecountyfair.com/vendors."
2026-07-14,2026-07-18,Lincoln County Fair 2026,fair,Lincoln County Fairgrounds,,Troy,Lincoln,MO,"General public all ages; 5-day county fair with 4-H/FFA exhibits, concerts, demo derby, horse shows, truck and tractor pulls",implied,"Fair historically accepts commercial/food vendors; contact lincolncountymofair@gmail.com for 2026 vendor booth applications and pricing",,,,lincolncountymofair@gmail.com,,,https://www.lincolncountyfair.net/,https://cofairs.com/missouri/lincoln-county-fair,2026-06-25,"65th anniversary of Lincoln County Fair. Check Facebook page 'Lincoln County Fair-MO' for 2026 vendor updates."
2026-07-19,2026-07-25,Jefferson County Fair,fair,Jefferson County Fairgrounds,10349 MO-21 Bus,Hillsboro,Jefferson,MO,"General public county fair; all ages; large annual event drawing thousands",yes,"Vendor applications accepted through the fairgrounds. Contact fair office for booth types, costs, and availability.",,,,office@jeffersoncountyfair.net,636-797-3900,https://www.jeffersoncountyfair.net/,https://jeffcofair.com/schedule/fair-week-schedule/,2026-06-25,Commercial and exhibitor vendor applications accepted through jeffersoncountyfair.net.
2026-07-20,2026-07-25,Montgomery County Fair 2026,fair,Montgomery County Fairgrounds,"700 South Sturgeon Street, PO Box 11",Montgomery City,Montgomery,MO,"General public all ages; 6-day county fair with rodeo, livestock, entertainment, vendors; dedicated Senior Citizens Day for residents 65+",yes,"Fair actively invites retail vendors and exhibitors; register via https://mcfa.org/become-an-exhibitor/",,,,montgomerycofair@gmail.com,573-574-3249,https://mcfa.org/become-an-exhibitor/,https://www.montgomerycountyfair.org/schedule-of-events,2026-06-25,"Theme: Stars, Stripes & Summer Nights. July 20–25. Senior Citizens Day est. Wed July 22; 65+ residents with coffee & donuts, music, bingo, King & Queen contest; capped at 1,400 seniors. $5 admission for 65+ until noon on Senior Day."
2026-07-22,,Montgomery County Fair – Senior Citizens Day,senior day,Montgomery County Fairgrounds,"700 South Sturgeon Street, PO Box 11",Montgomery City,Montgomery,MO,"Montgomery County residents 65+; senior living facilities and senior citizen groups; capped at 1,400 attendees",implied,"Fair vendor/exhibitor booths available throughout fair week; Senior Citizens Day draws the largest 65+ audience — prime day for a Medicare information table. Contact fair for booth availability on this specific day.",,,,montgomerycofair@gmail.com,573-574-3249,https://mcfa.org/become-an-exhibitor/,https://mcfa.org/events/senior-day/,2026-06-25,"Wednesday of fair week; estimated July 22 2026. Activities: coffee & donuts, entertainment, King & Queen contest for senior groups, lunch, bingo, door prizes. 65 & Older Show check-in 8:30–10:00 AM."
2026-07-22,2026-07-26,St. Charles County Fair,fair,Rotary Park,2577 W Meyer Rd,Wentzville,St. Charles,MO,"General public all ages; large family and senior attendance from across St. Charles County",implied,"Exhibitor/vendor booths available; contact fair organizers at stcharlescofair.org for cost and application",,,,,,https://www.stcharlescofair.org/,https://fun4stlkids.com/Whats-Happening/Summer-Festivals/07/22-07/26-St.-Charles-County-Fair-at-Rotary-Park-Wentzville/View-details,2026-06-25,"Annual 5-day county fair held 4th week of July. 4-H demos, livestock shows, carnival rides, entertainment, commercial exhibits. High foot traffic; strong senior presence across St. Charles County."
2026-07-30,2026-08-01,St. Francois County Fair,fair,St. Francois County Fairgrounds,1450 Woodlawn Dr,Farmington,St. Francois,MO,"General public; county fair with agricultural exhibits, livestock, competitions, swap meet, entertainment",yes,"Vendors welcome; swap meet and commercial vendor opportunities. Mailing address: P.O. Box 25, Bismarck MO 63624. Contact fair for 2026 booth costs.",,,,,,https://sfcfairgrounds.org/,https://cofairs.com/missouri/st-francois-county-fair,2026-06-25,"152nd annual fair. 3-day event July 30–August 1 2026. FairEntry portal: fairentry.com/Public/EnterFair/24037"
2026-08-05,2026-08-09,Washington Town & Country Fair,fair,Washington Town & Country Fairgrounds,,Washington,Franklin,MO,"General public county fair; all ages; senior (60+) admission discount available at gate",yes,"Vendors required to participate all five days. Senior (60+)/Military discount at gate Thu–Sat. Contact fair for vendor application and booth costs.",,,,office@washmofair.com,636-239-2715,https://washmofair.com/,https://washmofair.com/tickets/,2026-06-25,"August 5–9 2026. Large annual fair in Franklin County seat. Concerts (Tucker Wetmore Aug 6), livestock shows, exhibits, midway rides, motorsports. Senior age 60+ discounted admission at gate."
2026-08-08,2026-08-09,Jour de Fete Arts and Crafts Festival,craft fair,Historic District Downtown Ste. Genevieve,Main Street Historic District,Ste. Genevieve,Ste. Genevieve,MO,"General public; southeast Missouri's largest outdoor crafts fair attracting tens of thousands; all ages",yes,"150–200+ vendor/craft booths. Vendor applications accepted via official website. Contact organizers for 2026 booth costs and deadlines.",,,,,,http://www.saintegenevievejourdefete.com/,https://festivalnet.com/47476/Sainte-Genevieve-Missouri/Craft-Shows/Jour-de-Fete-Sainte-Genevieve,2026-06-25,"Held second full weekend in August annually. Large public event; primarily arts/crafts vendors but information table likely possible given scale. Also at visitstegen.com/jour-de-fete/"
2026-08-18,2026-08-22,Perry County Community Fair,fair,Perry County Fairgrounds,,Perryville,Perry,MO,"General public; family-friendly county fair with livestock, exhibits, 4-H competitions, entertainment",implied,"Fair accepts exhibitors and vendors; official entry forms available. Exhibit pickup Sunday August 23 10:00 AM–1:00 PM. Contact fairgrounds for commercial vendor/booth details.",,,,,,https://perrycountyfairgrounds.com/thefair,https://fairentry.com/public/EnterFair/23387,2026-06-25,"FairEntry.com lists 2026 Perry County Community Fair August 18–22. See also perrycountyfairgrounds.com/"
